Nome;Cargo;Trofeus;Doacoes_Feitas;Doacoes_Recebidas;Ultimo_Acesso
⛩Vini'hYT⛩;elder;14000;74;120;01/05/2026 03:25
Pardal;elder;13530;234;200;01/05/2026 21:10
Λ Яᄃ λ Ð Є;elder;13228;678;380;02/05/2026 02:05
TerraThigas;member;13098;146;152;30/04/2026 22:31
naregs;member;13057;104;80;01/05/2026 15:55
João Gabriel;member;12809;154;300;02/05/2026 01:30
Nono:);member;12547;0;0;02/05/2026 00:15
LZ-17;member;12449;301;257;02/05/2026 00:59
drope;elder;12296;0;120;30/04/2026 19:03
deco;member;12277;86;0;01/05/2026 20:32
LUAN;member;12198;0;0;01/05/2026 22:09
eSay;member;12104;499;430;01/05/2026 23:48
KURAMA;elder;12045;32;0;02/05/2026 01:45
PoneyMaldito;member;12044;105;385;01/05/2026 00:51
Schmidtiago;member;12030;41;248;02/05/2026 01:35
arctic artur;member;12030;516;348;01/05/2026 19:00
EL7schneider;member;12000;44;40;01/05/2026 21:00
damiplay;member;12000;0;0;01/05/2026 03:20
david;elder;11911;137;119;01/05/2026 21:32
mitio da bala;member;11583;0;0;28/04/2026 11:53
Victor Hugo;elder;11452;54;0;30/04/2026 14:30
VegartGameRr;member;11415;0;0;02/05/2026 01:04
luciano;member;11370;0;64;02/05/2026 00:17
O Bruxo Cyel;elder;11331;68;40;27/04/2026 17:57
Luca.canhotinho;member;11303;0;0;01/05/2026 21:33
Fobos;member;11271;44;0;01/05/2026 01:03
zCacio;member;11243;0;0;26/04/2026 21:41
LORD ESCANOR;member;11215;0;0;01/05/2026 22:19
ips;member;11206;305;320;01/05/2026 22:43
BybyZx;member;11206;70;80;01/05/2026 17:07
bruxo-x-;coLeader;11056;0;0;26/04/2026 18:33
EL_GRANDE BRUXO;leader;10887;0;0;25/04/2026 00:29
gabriel;member;10826;0;0;23/04/2026 21:57
Seu Pai;member;10748;8;0;01/05/2026 21:26
GaguiN;member;10692;0;40;28/04/2026 10:23
2B¥;member;10533;34;40;01/05/2026 13:52
PAULØ DAVI¿;member;10206;0;0;26/04/2026 13:52
Barbarian;member;10200;0;0;01/05/2026 02:09
DEUS ROYALE;member;10132;0;0;30/04/2026 18:45
Luanzin者;member;10095;0;0;30/04/2026 21:44
Gugu.;member;10063;221;192;02/05/2026 02:32
Totozo;member;10032;0;0;24/04/2026 22:16
